ALB,Public Sector Procurement Expenditure Survey Category ,Supplier,Net Amount £
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,LOCAL GOVERNMENT ASSOCIATION,"1,455.00"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,LONDON DEVELOPMENT EVENTS LTD,"1,596.00"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,London South Bank University,"2,295.00"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,MAJORSTAGE LTD T/A PECKFORTON CASTLE,"1,408.95"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,Media Training,870
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,National Housing Federation,"35,014.64"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,NATIONAL SCHOOL OF GOVERNMENT,"2,409.00"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,NEWENGLISH DESIGN LIMITED,"21,086.00"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,NOMENSA LIMITED,"4,100.00"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,Novas Scarman Group,"7,210.00"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,Office for Public Management,"106,989.01"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,OPP Ltd,"12,000.00"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,OTHER GROUP LTD,"3,148.40"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,PARTNERSHIP MEDIA GROUP LTD T/A GOVNET COMMUN,"1,574.50"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,PLACE LIVE LIMITED,"3,000.00"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,POSITIVE PEOPLE COMPANY,"13,778.75"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,POTTERTON ASSOCIATES LTD,"9,906.00"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,Professional Conferences,"1,467.00"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,PUBLIC CHAIR'S FORUM,"1,750.00"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,PURPLE CIRCLES LTD,"10,397.49"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,QA TRAINING,"9,904.00"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,QUADRILECT LTD,563
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,RACE FOR OPPORTUNITY,"2,500.00"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,REMARC TECHNOLOGIES,"7,500.00"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,RIGHT MANAGEMENT,"32,150.00"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,ROBERT J COLENUTT,"3,525.00"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,ROFFEY PARK INSTITUTE LIMITED,"2,000.00"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,Royal Institution of Chartered Surveyors,"3,513.04"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,RTPI Conferences,"15,225.99"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,RUDI Subscriptions,"2,500.00"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,SALFORD GIS,550
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,SAS Event Management Ltd,"4,000.00"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,Shared Intelligence,"15,108.23"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,Sheffield Hallam University,"3,470.00"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,SHL LTD,"316,173.35"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,SIMPLY SPEAKING LTD,699.12
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,SMARTSTYLE TECHNOLOGY TRAINING,"5,146.25"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,SNOZONE LTD,554.61
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,Sodexho Ltd,"2,906.72"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,SOUTH WEST REGIONAL BOARD,502
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,STEVENAGE LEISURE LIMITED,"5,500.00"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,STONEWALL EQUALITY LTD,"2,000.00"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,THE CHARTERED INSTITUTE OF BUILDING,"6,250.00"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,THE COLLEGE OF ESTATE MANAGEMENT,"6,623.00"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,THE ENVIRONMENTAL INDUSTRIES COMMISSION LTD,770
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,THE OPEN UNIVERSITY,860
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,THE PLANNING COOPERATIVE,"7,072.50"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,THE PR ACADEMY,987
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,THE RETIREMENT COUNSELLING SERVICE,"8,893.00"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,THE SMITH INSTITUTE,"17,500.00"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,THE SOLUTIONS FOCUS,"3,317.56"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,The University of Sheffield,"48,720.00"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,THE UNIVERSITY OF WESTMINSTER,"2,240.00"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,TOM PETERS COMPANY LIMITED,"9,229.95"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,UBM Information Ltd,"37,719.00"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,UNIVERSITY OF BIRMINGHAM,"258,699.26"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,UNIVERSITY OF MANCHESTER,"47,877.12"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,University of the West of England,"4,080.00"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,URBAN ASPECT,512.3
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,URBAN LAND INSTITUTE,"4,508.80"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,Warwick University Training,"17,250.00"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,WOMEN IN PROPERTY,"13,110.00"
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,WWP TRAINING LTD,950
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,Y? CREATIVE COACHING & DEVELOPMENT LTD,573.59
Home & Communities Agency,LEARNING AND DEVELOPMENT SERVICES,YVONNE EDGAR,500
Home & Communities Agency,LEASING,ALPHABET (GB) LTD,"128,503.34"
Home & Communities Agency,LEASING,Arnold Clark Finance Limited,"240,941.07"
Home & Communities Agency,LEASING,Arval UK Ltd (Allstar),"7,025.13"
Home & Communities Agency,LEASING,Automotive Leasing,"60,313.00"
Home & Communities Agency,LEASING,GE CAPITAL SOLUTIONS,"125,932.51"
Home & Communities Agency,LEASING,ING LEASE,"176,075.12"
Home & Communities Agency,LEASING,Lex Autolease Ltd,"424,197.37"
Home & Communities Agency,LEASING,LOMBARD VEHICLE MANAGEMENT LTD,"12,719.25"
Home & Communities Agency,LEASING,TCH LEASING,"85,538.53"
Home & Communities Agency,LEGAL SERVICES,11KBW,"4,250.00"
Home & Communities Agency,LEGAL SERVICES,ADDLESHAW GODDARD,"78,274.14"
Home & Communities Agency,LEGAL SERVICES,ASHURST LLP,"110,846.52"
Home & Communities Agency,LEGAL SERVICES,BEACHCROFT WANSBROUGHS,"85,371.75"
Home & Communities Agency,LEGAL SERVICES,BELL LAMB & JOYNSON,750
Home & Communities Agency,LEGAL SERVICES,BERRYMANS LACE MAWER LLP,"2,711.80"
Home & Communities Agency,LEGAL SERVICES,Berwin Leighton Paisner LLP,"1,526,621.57"
Home & Communities Agency,LEGAL SERVICES,Bond Pearce LLP,"278,394.15"
Home & Communities Agency,LEGAL SERVICES,BPE SOLICITORS,"1,847.22"
Home & Communities Agency,LEGAL SERVICES,Denton Wilde Sapte,"624,299.29"
Home & Communities Agency,LEGAL SERVICES,DICKINSON DEES,"20,558.75"
Home & Communities Agency,LEGAL SERVICES,DLA PIPER,"284,815.73"
Home & Communities Agency,LEGAL SERVICES,EAD SOLICITORS,"14,610.00"
Home & Communities Agency,LEGAL SERVICES,EMW LAW LLP,"2,524.50"
Home & Communities Agency,LEGAL SERVICES,EVERSHEDS,"2,795,753.51"
Home & Communities Agency,LEGAL SERVICES,FBC MANBY BOWDLER,581.25
Home & Communities Agency,LEGAL SERVICES,FIFIELD GLYN,"7,602.65"
Home & Communities Agency,LEGAL SERVICES,FOOT ANSTEY,"129,285.45"
Home & Communities Agency,LEGAL SERVICES,FORSHAWS DAVIES RIDGWAY LLP,"348,819.53"
Home & Communities Agency,LEGAL SERVICES,GELDARDS,"8,603.46"
Home & Communities Agency,LEGAL SERVICES,GEOFFREY LEAVER SOLICITORS,"15,679.60"
Home & Communities Agency,LEGAL SERVICES,GREENWOODS SOLICITORS,"17,000.00"
Home & Communities Agency,LEGAL SERVICES,HAMMONDS,"367,377.17"
Home & Communities Agency,LEGAL SERVICES,HEWITSONS SOLICITORS,"566,002.82"
Home & Communities Agency,LEGAL SERVICES,HILL DICKINSON SOLICITORS,"2,604.20"
Home & Communities Agency,LEGAL SERVICES,HOWARD KENNEDY,"2,300.00"
Home & Communities Agency,LEGAL SERVICES,KESTER CUNNINGHAM JOHN SOLICITORS,"1,043.00"
Home & Communities Agency,LEGAL SERVICES,LAND LAW,"12,234.57"
Home & Communities Agency,LEGAL SERVICES,LANDMARK - MISS SAMANTHA BROAD,"9,750.00"
Home & Communities Agency,LEGAL SERVICES,LEGAL COSTS NEGOTIATORS LTD,"1,688.45"
Home & Communities Agency,LEGAL SERVICES,MILLS & REEVE,"1,950.00"
Home & Communities Agency,LEGAL SERVICES,MUCKLE LLP,"2,875.00"
Home & Communities Agency,LEGAL SERVICES,NABARRO NATHANSON,"669,100.56"
Home & Communities Agency,LEGAL SERVICES,NEVES SOLICITORS,537.5
Home & Communities Agency,LEGAL SERVICES,NORTON ROSE LLP,"129,288.54"
Home & Communities Agency,LEGAL SERVICES,PALMERS SOLICITORS,"1,247.07"
Home & Communities Agency,LEGAL SERVICES,PAT THOMAS PLANNING LAW,"4,400.00"
Home & Communities Agency,LEGAL SERVICES,Pinsent Masons,"1,613,692.84"
Home & Communities Agency,LEGAL SERVICES,PLEXUS LAW,"2,562.00"
Home & Communities Agency,LEGAL SERVICES,SHARPE PRITCHARD,"21,865.66"
Home & Communities Agency,LEGAL SERVICES,SILVERMAN LIVERMORE SOLICITORS,"16,946.60"
Home & Communities Agency,LEGAL SERVICES,STEPHENS & SCOWN,"3,894.92"
Home & Communities Agency,LEGAL SERVICES,STONEROWEBREWER,575
Home & Communities Agency,LEGAL SERVICES,THE SOLICITORS REGULATION AUTHORITY,"6,195.00"
Home & Communities Agency,LEGAL SERVICES,Trowers & Hamlins,"1,934,876.53"
Home & Communities Agency,LEGAL SERVICES,WARD AND RIDER SOLICITORS,"6,000.00"
Home & Communities Agency,LEGAL SERVICES,WEIGHTMANS LLP,"9,240.92"
Home & Communities Agency,MAIN CONTRACTOR,BALFOUR BEATTY PLC,"1,868,923.29"
Home & Communities Agency,MAIN CONTRACTOR,BAM NUTTALL LTD,"901,101.91"
Home & Communities Agency,MAIN CONTRACTOR,BIRSE CIVILS LTD,"933,991.68"
Home & Communities Agency,MAIN CONTRACTOR,C A BLACKWELL (CONTRACTS) LIMITED,"1,038,776.00"
Home & Communities Agency,MAIN CONTRACTOR,Carillion Services Limited,"4,533,824.88"
Home & Communities Agency,MAIN CONTRACTOR,LEADBITTER CONSTRUCTION,"9,466,717.00"
Home & Communities Agency,MAIN CONTRACTOR,MORRISON CONSTRUCTION LTD,"386,216.31"
Home & Communities Agency,MAIN CONTRACTOR,SQUIBB & DAVIES (DEMOLITION) LTD,"2,029,968.00"
Home & Communities Agency,MAINTENANCE AND SUPPORT,Hewlett-Packard Limited,555.84
Home & Communities Agency,MAINTENANCE AND SUPPORT,KELTEC LIMITED,"8,202.58"
Home & Communities Agency,MAINTENANCE AND SUPPORT,OCE (UK),"1,819.29"
Home & Communities Agency,MARKETING,4X4 MAKING PLACES LTD,750
Home & Communities Agency,MARKETING,55 NORTH LTD,595
Home & Communities Agency,MARKETING,AIR PHOTO SERVICES LTD,750
Home & Communities Agency,MARKETING,ANDREW HAYWARD,809.05
Home & Communities Agency,MARKETING,ANDY TRYNER PHOTOGRAPHY,"17,626.60"
Home & Communities Agency,MARKETING,ART IMAGE DIGITAL PHOTOGRAQPHY,"5,294.00"
Home & Communities Agency,MARKETING,ARTHOUSE ADVERTISING PHOTOGRAPHY LTD,"13,287.00"
Home & Communities Agency,MARKETING,BAMPTON COMMUNICATIONS,600
Home & Communities Agency,MARKETING,BLUE FISH DESIGN,"1,125.00"
Home & Communities Agency,MARKETING,BLUEGFX,750
Home & Communities Agency,MARKETING,BOB ADAMS - ARTS & EVENT MANAGEMENT,"1,976.15"
Home & Communities Agency,MARKETING,BURROWS COMMUNICATIONS LTD,"7,300.00"
Home & Communities Agency,MARKETING,Business in the Community,"10,000.00"
Home & Communities Agency,MARKETING,BY THE SCRUFF LTD,"19,329.66"
Home & Communities Agency,MARKETING,CAMARGUE,"3,000.00"
Home & Communities Agency,MARKETING,CAMBRIDGE FILM & TELEVISION PRODUCTION LTD,"5,000.00"
Home & Communities Agency,MARKETING,CHRIS HENDERSON PHOTOGRAPHY,"9,602.95"
Home & Communities Agency,MARKETING,CIMEX MEDIA LIMITED,"57,092.57"
Home & Communities Agency,MARKETING,CLARITY CREATION,"1,583.00"
Home & Communities Agency,MARKETING,COMMISSION AIR,"2,395.00"
Home & Communities Agency,MARKETING,COMMUNIQUE,"5,807.59"
Home & Communities Agency,MARKETING,CONSTRUCTION PHOTOGRAPHY,"25,559.15"
Home & Communities Agency,MARKETING,CONSTRUCTION PRODUCTS ASSOCIATION,550
Home & Communities Agency,MARKETING,CRAIG FREW,"1,213.63"
Home & Communities Agency,MARKETING,CREATIVE CONCERN LTD,"33,283.50"
Home & Communities Agency,MARKETING,CREATIVE LYNX LTD,"33,812.00"
Home & Communities Agency,MARKETING,DAISY TELECOMS LIMITED,"1,777.04"
Home & Communities Agency,MARKETING,DATA ARCHIVE.COM,673.2
Home & Communities Agency,MARKETING,EMBERTON-DALE ADVERTISING LTD,"3,315.59"
Home & Communities Agency,MARKETING,ENGAGE GROUP,"168,620.49"
Home & Communities Agency,MARKETING,FAWTHROP MCLANDERS DESIGN & MARKETING,"2,000.00"
Home & Communities Agency,MARKETING,FIONA GRAY DESIGN ASSOCIATES,500
Home & Communities Agency,MARKETING,GIVE WAY,"6,899.00"
Home & Communities Agency,MARKETING,GLASGOWS,"55,074.32"
Home & Communities Agency,MARKETING,GLOBUSMEDIA LTD,"16,380.00"
Home & Communities Agency,MARKETING,GRAN PARADISO,724.52
Home & Communities Agency,MARKETING,HAYMARKET PUBLICATIONS LTD,"9,301.20"
Home & Communities Agency,MARKETING,ICON DISPLAY LTD,"155,435.10"
Home & Communities Agency,MARKETING,ING MEDIA,"33,715.98"
Home & Communities Agency,MARKETING,INSIDE OUT PHOTOGRAPHY,"3,995.00"
Home & Communities Agency,MARKETING,INSPIRED FILM AND VIDEO LTD,"4,200.00"
Home & Communities Agency,MARKETING,JKN DIGITAL LTD,"4,625.00"
Home & Communities Agency,MARKETING,Johnston Press Midlands Division,"11,569.97"
Home & Communities Agency,MARKETING,LEDGARD JEPSON LIMITED,"2,930.85"
Home & Communities Agency,MARKETING,LEEDS AHEAD,"2,300.00"
Home & Communities Agency,MARKETING,Lewis Live Ltd,"8,195.30"
Home & Communities Agency,MARKETING,LIQUIDVISION MARKETING LIMITED,"45,734.00"
Home & Communities Agency,MARKETING,LIVING PROJECTS,"24,875.00"
Home & Communities Agency,MARKETING,LSN Media Limited,"7,203.06"
Home & Communities Agency,MARKETING,MARTIN GIBBON ASSOCIATES LTD,"112,963.75"
Home & Communities Agency,MARKETING,MEZZO STUDIOS LTD,"60,246.37"
Home & Communities Agency,MARKETING,MICHAEL PRIOR STUDIO,750
Home & Communities Agency,MARKETING,MILLS MEDIA GROUP,"53,811.79"
Home & Communities Agency,MARKETING,MILTON KEYNES & NORTH BUCKS,"6,325.00"
Home & Communities Agency,MARKETING,MILTON KEYNES BUSINESS LEADERS,750
Home & Communities Agency,MARKETING,MILTON KEYNES CITY CENTRE MANAGEMENT LTD,"3,500.00"
Home & Communities Agency,MARKETING,MILTON KEYNES CITY ORCHESTRA,"16,120.00"
Home & Communities Agency,MARKETING,MILTON KEYNES THEATRE LTD,792.29
Home & Communities Agency,MARKETING,MITRE PUBLICATIONS,"19,700.00"
Home & Communities Agency,MARKETING,MK DONS FC,"4,347.82"
Home & Communities Agency,MARKETING,MK LIGHTNING,"6,800.00"
Home & Communities Agency,MARKETING,NEAL DISPLAY,"3,017.00"
Home & Communities Agency,MARKETING,NETWORK SALES & MARKETING LTD,"37,872.39"
Home & Communities Agency,MARKETING,New Start Publishing Ltd,"1,358.00"
Home & Communities Agency,MARKETING,NEWSCO INSIDER LTD,"26,700.00"
Home & Communities Agency,MARKETING,Northern Architecture,"8,500.00"
Home & Communities Agency,MARKETING,NSPCC REGISTERED CHARITY,"3,721.15"
Home & Communities Agency,MARKETING,Ocean Media Group Ltd,"60,363.60"
Home & Communities Agency,MARKETING,OPPORTUNITY NOW,"2,500.00"
Home & Communities Agency,MARKETING,PRINCEBUILD LIMITED,748.33
Home & Communities Agency,MARKETING,PROLEISURE LLP,"1,800.00"
Home & Communities Agency,MARKETING,RE:MEDIA PLC,"6,570.00"
Home & Communities Agency,MARKETING,RPG SIGNHIRE LTD T/A SIGNCRAFT,"2,425.50"
Home & Communities Agency,MARKETING,RTPI,545
Home & Communities Agency,MARKETING,SQUARE PEG MEDIA LTD,"1,400.00"
Home & Communities Agency,MARKETING,STUDIO MK,"25,287.94"
Home & Communities Agency,MARKETING,TAHI,750
Home & Communities Agency,MARKETING,THE DATA ARCHIVE LTD,513
Home & Communities Agency,MARKETING,THE LEISURE MEDIA COMPANY LTD,716.3
Home & Communities Agency,MARKETING,THIS IS NOT A GATEWAY,"18,300.00"
Home & Communities Agency,MARKETING,THREE HUNDRED MILLION LTD,"148,166.20"
Home & Communities Agency,MARKETING,TORNADO MARKETING LIMITED,"5,000.00"
Home & Communities Agency,MARKETING,TRAFFIC & COMMERCIAL SIGNS LTD,728.41
Home & Communities Agency,MARKETING,TRIFFIC FILMS,"1,362.60"
Home & Communities Agency,MARKETING,TRINITY MIRROR MIDLANDS,"1,100.00"
Home & Communities Agency,MARKETING,URBAN COMMUNICATIONS LIMITED,"4,738.13"
Home & Communities Agency,MARKETING,VISUAL IDENTITY CREATIVE LTD,"14,861.68"
Home & Communities Agency,MARKETING,VIVIENNE REISS,"4,526.50"
Home & Communities Agency,MARKETING,Wellcome Trust,"9,642.25"
Home & Communities Agency,MARKETING,Yell Limited,"4,332.00"
Home & Communities Agency,MARKETING,ZMAPPING LTD,"1,890.00"
Home & Communities Agency,NETWORKING,AMERICAN POWER CONVERSION,"4,703.00"
Home & Communities Agency,NETWORKING,BT CONFERENCE,"435,459.12"
Home & Communities Agency,NETWORKING,COMPUTACENTER UK LTD,"80,575.64"
Home & Communities Agency,NETWORKING,Demon Internet,"12,398.80"
Home & Communities Agency,NETWORKING,Siemens Communications,1331.54
Home & Communities Agency,NETWORKING,VIRGIN MEDIA LIMITED,"17,829.92"
Home & Communities Agency,NETWORKING,VIZUAL BUSINESS TOOLS PLC,"3,637.50"
Home & Communities Agency,OFFICE CONSUMABLES,BOTTOMLINE TECHNOLOGIES,768
Home & Communities Agency,OFFICE CONSUMABLES,CENTRAL WINE EXCHANGE,"1,771.40"
Home & Communities Agency,OFFICE CONSUMABLES,EMAP,"16,686.00"
Home & Communities Agency,OFFICE CONSUMABLES,Financial Times Ltd,"1,713.00"
Home & Communities Agency,OFFICE CONSUMABLES,Haymarket Publishing Services,"3,486.00"
Home & Communities Agency,OFFICE CONSUMABLES,MAYFLOWER HYGIENE SUPPLIES (LONDON) LTD,995.97
Home & Communities Agency,OFFICE CONSUMABLES,PAGES NEWS,"5,212.85"
Home & Communities Agency,OFFICE CONSUMABLES,PROBRAND LIMITED,"7,766.00"
Home & Communities Agency,OFFICE CONSUMABLES,QUEENS STREET NEWS,543.06
Home & Communities Agency,OFFICE CONSUMABLES,Reed Business Information Ltd,"7,380.00"
Home & Communities Agency,OFFICE CONSUMABLES,S. BOPARAI,834.7
Home & Communities Agency,OFFICE CONSUMABLES,SPRINGSTAR LTD,"2,376.83"
Home & Communities Agency,OFFICE CONSUMABLES,STEER,500
Home & Communities Agency,OFFICE CONSUMABLES,STERLING CHEMICALS,546
Home & Communities Agency,OFFICE CONSUMABLES,THE STATIONERY OFFICE,"3,251.50"
Home & Communities Agency,OFFICE CONSUMABLES,TNN & SHAH LIMITED (BONJOUR CARDS),525.13
Home & Communities Agency,OFFICE CONSUMABLES,WOLTERS KLUWER,"2,707.50"
Home & Communities Agency,OFFICE FURNITURE,ABSOLUTE OFFICE SOULTIONS,"26,802.40"
Home & Communities Agency,OFFICE FURNITURE,DEVON COMMERCIAL STATIONERS LTD,"1,265.32"
Home & Communities Agency,OFFICE FURNITURE,MAINROCK LTD,"59,068.58"
Home & Communities Agency,OFFICE FURNITURE,OFC STAFFS LTD,"3,750.00"
Home & Communities Agency,OFFICE FURNITURE,RAILEX (FILING) LTD,"8,042.25"
Home & Communities Agency,OFFICE FURNITURE,Screen Plus,"1,497.00"
Home & Communities Agency,OFFICE MACHINES,AQUAID (MIDLANDS & SOUTH WALES),"2,323.02"
Home & Communities Agency,OFFICE MACHINES,CF Asset Finance Limited,"5,013.20"
Home & Communities Agency,OFFICE MACHINES,ENTWISTLE (INCOPORATING COLYER THORPE LTD),"3,600.00"
Home & Communities Agency,OFFICE MACHINES,G E Capital Equipment Finance,"12,045.39"
Home & Communities Agency,OFFICE MACHINES,GBC (UNITED KINGDOM) LTD,650.8
Home & Communities Agency,OFFICE MACHINES,ING LEASE,"1,464.44"
Home & Communities Agency,OFFICE MACHINES,KODAK LTD,928
Home & Communities Agency,OFFICE MACHINES,OFFICE COMMUNICATIONS LTD,828
Home & Communities Agency,OFFICE MACHINES,PURCHASE POWER,"1,840.39"
Home & Communities Agency,OFFICE MACHINES,TWOFOLD LTD,765.23
Home & Communities Agency,OFFICE MACHINES,WORLD SATELLITE,"1,861.80"
Home & Communities Agency,OFFICE MACHINES,Xerox (Uk) Ltd,"101,549.62"
Home & Communities Agency,OFFICE SOLUTIONS,3663,"1,366.63"
Home & Communities Agency,OFFICE SUPPLIES,DS Ergonomics Ltd,631.5
Home & Communities Agency,OFFICE SUPPLIES,SG World Ltd,"6,531.97"
Home & Communities Agency,OPERATIONAL SERIVES,Rockpools,"11,796.54"
Home & Communities Agency,OPERATIONAL SERVICES,ANTHONY MICHAEL COX,"4,940.00"
Home & Communities Agency,OPERATIONAL SERVICES,COUNTY BAILIFF COMPANY,600
Home & Communities Agency,OPERATIONAL SERVICES,FUTURE BOARD,"73,052.24"
Home & Communities Agency,OPERATIONAL SERVICES,PENNA BARKER,"458,013.84"
Home & Communities Agency,OPERATIONAL SERVICES,Tribal Consulting Ltd,"302,438.26"
Home & Communities Agency,OUT SOURCED SERVICES,DATASAFE STORAGE LTD,"6,267.25"
Home & Communities Agency,OUT SOURCED SERVICES,ELECTRONIC DATA SYSTEMS LTD,"54,668.36"
Home & Communities Agency,OUT SOURCED SERVICES,FUSION MANAGE IT,"1,932.94"
Home & Communities Agency,POST AND COURIER,A&J COURIERS,"16,505.00"
Home & Communities Agency,POST AND COURIER,DELIVERY PARTNERS,772.6
Home & Communities Agency,POST AND COURIER,DHL Express UK ltd,580.23
Home & Communities Agency,POST AND COURIER,DX Network Services Ltd,"16,221.22"
Home & Communities Agency,POST AND COURIER,EXCEL COURIERS,"22,167.06"
Home & Communities Agency,POST AND COURIER,JFK BUSINESS SERVICES LTD,903.7
Home & Communities Agency,POST AND COURIER,KPF COURIERS,"11,858.00"
Home & Communities Agency,POST AND COURIER,LEWIS DAY TRANSPORT,"1,152.32"
Home & Communities Agency,POST AND COURIER,MIDNITE EXPRESS INTERNATIONAL COURIERS LTD,"8,711.39"
Home & Communities Agency,POST AND COURIER,MK LONDON LINK,"10,022.15"
Home & Communities Agency,POST AND COURIER,Neopost Limited,"38,273.64"
Home & Communities Agency,POST AND COURIER,Parcelforce Worldwide,"1,803.55"
Home & Communities Agency,POST AND COURIER,Pink Express Ltd,"3,778.19"
Home & Communities Agency,POST AND COURIER,PITNEY BOWES LTD,"6,931.70"
Home & Communities Agency,POST AND COURIER,REFLEX,"1,380.90"
Home & Communities Agency,POST AND COURIER,ROYAL MAIL GROUP PLC,"16,115.04"
Home & Communities Agency,POST AND COURIER,TNT UK LTD,"3,967.56"
Home & Communities Agency,PRINT,ANDREW PRICE T/A LASER PRINTING SOLUTIONS,750
Home & Communities Agency,PRINT,BLISSETT DESIGN LTD T/A MB DESIGN,"3,309.50"
Home & Communities Agency,PRINT,BUSINESS WORLD SERVICES LTD,"1,543.25"
Home & Communities Agency,PRINT,DATUM COLOUR PRINT,750
Home & Communities Agency,PRINT,KALL KWIK,709.11
Home & Communities Agency,PRINT,MPG PLC,"1,600.00"
Home & Communities Agency,PRINT,Mwlprint Group Ltd,"70,404.25"
Home & Communities Agency,PRINT,PELCIAN PRESS,"2,350.00"
Home & Communities Agency,PRINT,PROCO,"18,462.10"
Home & Communities Agency,PRINT,SEACOURT ENVIRONMENTAL PRINTING,"3,567.00"
Home & Communities Agency,PRINT,STUDIO REAL,"20,000.00"
Home & Communities Agency,PRINT,THE MOLLER CENTRE,770.4
Home & Communities Agency,PROMOTION,BRAHM LIMITED,"112,352.76"
Home & Communities Agency,PROMOTION,HAMBLESIDE BUSINESS GIFT SOLUTIONS,"11,261.50"
Home & Communities Agency,PROMOTION,IAN DUTTON,"5,991.00"
Home & Communities Agency,PROMOTION,MCI UK,"36,780.07"
Home & Communities Agency,PROMOTION,MOONLIGHT BUSINESS GIFTS,"1,111.00"
Home & Communities Agency,PROMOTION,NADIR FARRELL,"57,766.91"
Home & Communities Agency,PROMOTION,PHOENIX,"34,701.25"
Home & Communities Agency,PROMOTION,STANIFORTH COMMUNICATIONS,"17,527.50"
Home & Communities Agency,PROMOTION,WILLOUGHBY PR,"154,499.43"
Home & Communities Agency,PROPERTY SERVICES / ESTATES CONSULTANCY,AITCHISON RAFFETY GROUP,"2,500.00"
Home & Communities Agency,PROPERTY SERVICES / ESTATES CONSULTANCY,ALDER KING,"5,330.00"
Home & Communities Agency,PROPERTY SERVICES / ESTATES CONSULTANCY,CUTHBERT LAKE,"15,000.00"
Home & Communities Agency,PROPERTY SERVICES / ESTATES CONSULTANCY,Lambert Smith Hampton Group Ltd,"457,015.14"
Home & Communities Agency,PROPERTY SERVICES / ESTATES CONSULTANCY,ROGER TYM & PARTNERS,"173,807.93"
Home & Communities Agency,RAIL,CHRISTINE NUGENT BUSINESS TRAVEL LTD,"32,465.67"
Home & Communities Agency,RAIL,R.S.P LTD,"130,342.70"
