Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/09/2010,External Training,Finance & Commercial Group - Finance Group,INSTITUTE OF INTERNAL AUDITORS UK AND IRELAND,1007696,-138.65
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/09/2010,External Training,Finance & Commercial Group - Finance Group,INTERACTIVE PRO LTD T/A LONDON SCHOOL OF BUSINESS & FINANCE,1006108,504
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/09/2010,External Training,Finance & Commercial Group - Finance Group,INTERACTIVE PRO LTD T/A LONDON SCHOOL OF BUSINESS & FINANCE,1006108,781.28
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/09/2010,External Training,"Legal, People & Communications Group - Legal",LONDON CRIMINAL COURTS SOLICITORS ASSOCIATION (LCCSA),1006796,-90
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/09/2010,External Training,Fair Markets Group Summary - Consumer and Competition Policy,NATIONAL SCHOOL OF GOVERNMENT,1007766,895
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/09/2010,External Training,"Legal, People & Communications Group - Communications Directorate",NATIONAL SCHOOL OF GOVERNMENT,1007772,1495
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/09/2010,External Training,"Legal, People & Communications Group - Legal",NATIONAL SCHOOL OF GOVERNMENT,1007702,1650
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/09/2010,External Training,"Legal, People & Communications Group - Legal",NATIONAL SCHOOL OF GOVERNMENT,1007703,1650
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/09/2010,External Training,Business Group - Economic Development Directorate,PRAESTA PARTNERS LLP,1006755,1068.75
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/09/2010,External Training,"Innovation, Enterprise & Better Regulation Executive - Enterprise Directorate",PRIORITY MANAGEMENT LONDON LTD,1005981,2000
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/09/2010,External Training,Strategic Policy Analysis - Strategic Policy Analysis,ROYAL HOLLOWAY UNIVERSITY OF LONDON [RHBNC],1005488,3480
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/09/2010,External Training,Ministerial and Parliamentary Support Team - Ministerial and Parliamentary Support Team,STANTON MARRIS LLP,1006299,2750
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/09/2010,External Training,Finance & Commercial Group - Information and Workplace Strategies,VISOR CONSULTANTS (UK) LTD,1006248,2600
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/09/2010,External Training,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",WALKER-COX LTD,1007927,3315.97
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/09/2010,External Training,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",WESTMINSTER KINGSWAY COLLEGE,1005712,705
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/09/2010,External Training,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",WESTMINSTER KINGSWAY COLLEGE,1007434,3398
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/09/2010,External Training,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",WESTMINSTER KINGSWAY COLLEGE,1005708,5600
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/09/2010,External Training,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",WESTMINSTER KINGSWAY COLLEGE,1005706,8400
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/09/2010,External Training,"Legal, People & Communications Group - HRCM - Human Resources and Change Management Directorate",WESTMINSTER KINGSWAY COLLEGE,1005714,8595
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/09/2010,External Training (Programme),Business Group - Information Economy,STEELHENGE CONSULTING LTD,1005687,2250
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/09/2010,Facilities Management Contract Costs,Finance & Commercial Group - Information and Workplace Strategies,EC HARRIS LLP,1006762,143312
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/09/2010,Facilities Management Contract Costs,Finance & Commercial Group - Information and Workplace Strategies,EC HARRIS LLP,1006763,143312
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/09/2010,FCO/COI Dispatches,Finance & Commercial Group - Information and Workplace Strategies,FCO SERVICES,1006651,1829.56
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Finance & Accounting Advice,Shareholder Executive - Shareholder Executive,GOVERNMENT ACTUARYS DEPARTMENT,1007407,4725.1
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/09/2010,Finance & Accounting Advice,Finance & Commercial Group - Finance Group,THE FINANCIAL REPORTING COUNCIL,1005831,7023
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/09/2010,Financial Advice and Services,Finance & Commercial Group - Finance Group,AMEY COMMUNITY LTD,1007437,53265
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/09/2010,Financial Advice and Services,"Innovation, Enterprise & Better Regulation Executive - Innovation",CAPITAL FOR ENTERPRISE LTD,1005378,14205
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Financial Advice and Services,Finance & Commercial Group - Finance Group,GOVERNMENT ACTUARYS DEPARTMENT,1007290,4500
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/09/2010,Financial Advice and Services,Business Group - Advanced Manufacturing Industries,INTERIM PERFORMERS LTD,1006378,1803.63
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/09/2010,Financial Advice and Services,Business Group - Advanced Manufacturing Industries,INTERIM PERFORMERS LTD,1006895,1868.25
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/09/2010,Financial Advice and Services,Business Group - Advanced Manufacturing Industries,INTERIM PERFORMERS LTD,1005582,2491
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/09/2010,Financial Advice and Services,Business Group - Advanced Manufacturing Industries,INTERIM PERFORMERS LTD,1007102,2491
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/09/2010,Financial Advice and Services,Business Group - Advanced Manufacturing Industries,INTERIM PERFORMERS LTD,1005918,3113.75
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/09/2010,Flexible Computing Service,Finance & Commercial Group - Information and Workplace Strategies,VODAFONE LTD,1005256,-15204.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/09/2010,Flexible Computing Service,Finance & Commercial Group - Information and Workplace Strategies,VODAFONE LTD,1005255,-12443.25
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/09/2010,Flexible Computing Service,Finance & Commercial Group - Information and Workplace Strategies,VODAFONE LTD,1005255,-12443.25
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/09/2010,Flexible Computing Service,Finance & Commercial Group - Information and Workplace Strategies,VODAFONE LTD,1005255,-12443.25
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/09/2010,Flexible Computing Service,Finance & Commercial Group - Information and Workplace Strategies,VODAFONE LTD,1005255,-12443.25
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Flexible Computing Service,Finance & Commercial Group - Information and Workplace Strategies,VODAFONE LTD,1005255,-12443.25
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/09/2010,Flexible Computing Service,Finance & Commercial Group - Information and Workplace Strategies,VODAFONE LTD,1005255,-12443.25
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Flexible Computing Service,Finance & Commercial Group - Information and Workplace Strategies,VODAFONE LTD,1007248,-8451.19
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Flexible Computing Service,Finance & Commercial Group - Information and Workplace Strategies,VODAFONE LTD,1007248,-459
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/09/2010,Flexible Computing Service,Finance & Commercial Group - Information and Workplace Strategies,VODAFONE LTD,1007373,552.99
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Flexible Computing Service,Finance & Commercial Group - Information and Workplace Strategies,VODAFONE LTD,1007248,8451.19
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2010,Flexible Computing Service,Finance & Commercial Group - Information and Workplace Strategies,VODAFONE LTD,1007248,8451.19
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/09/2010,Flexible Computing Service,Finance & Commercial Group - Information and Workplace Strategies,VODAFONE LTD,1007373,21113.59
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/09/2010,Flexible Computing Service (PFI),Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1007489,2101.5
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/09/2010,Flexible Computing Service (PFI),Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1005659,4046.55
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/09/2010,Flexible Computing Service (PFI),Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1005705,18792.67
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/09/2010,Flexible Computing Service (PFI),Finance & Commercial Group - Information and Workplace Strategies,FUJITSU SERVICES LTD,1007752,18792.67
