Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),2100199757,26.54
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),2100199757,23.84
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),2100199757,126.77
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),2100199757,52.66
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),2100199757,97.32
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),2100199757,41.78
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),2100199757,140.06
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),2100199757,90.77
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),2100199757,9.94
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),2100199757,208.75
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),2100199757,3.73
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Localism,ORANGE (AIRTIME/LINE RENTAL),2100199757,34.74
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),2100199756,44.69
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),2100199756,17.05
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),2100199756,5.49
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),2100199756,17.26
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),2100199756,22.37
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),2100199756,0.38
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),2100199756,54.35
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),2100199756,23.4
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),2100199756,1.78
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),2100199756,17.05
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),2100199756,41.7
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),2100199756,40.03
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),2100199756,19.4
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),2100199756,17.05
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),2100199756,17.05
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),2100199756,1.5
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),2100199756,18.08
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),2100199756,497.92
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),2100199756,36.96
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),2100199756,23.23
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),2100199756,17.05
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),2100199756,75.59
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),2100199756,2.14
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),2100199756,141.95
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),2100199756,6.3
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),2100199756,17.05
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),2100199756,96.71
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),2100199756,103.57
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),2100199756,73.81
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),2100199756,23.56
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),2100199757,41.37
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),2100199757,17.44
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),2100199757,16.12
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),2100199757,17.04
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),2100199757,20
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),2100199757,0.56
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),2100199757,38.63
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),2100199757,17.67
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),2100199757,3.62
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),2100199757,17.04
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),2100199757,64.21
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),2100199757,43.81
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),2100199757,32.57
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),2100199757,17.04
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),2100199757,17.04
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),2100199757,7.22
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),2100199757,17.83
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),2100199757,617.1
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),2100199757,35.28
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),2100199757,17.7
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),2100199757,17.24
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),2100199757,67.32,
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),2100199757,5.24,
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),2100199757,227.88,
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),2100199757,0.72,
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),2100199757,17.04,
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),2100199757,94.76,
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),2100199757,113.33,
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),2100199757,78.64,
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Neighbourhoods,ORANGE (AIRTIME/LINE RENTAL),2100199757,5.62,
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Strategic Performance Team,ORANGE (AIRTIME/LINE RENTAL),2100199756,71.04,
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Strategic Performance Team,ORANGE (AIRTIME/LINE RENTAL),2100199756,17.05,
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Strategic Performance Team,ORANGE (AIRTIME/LINE RENTAL),2100199756,29.48,
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Strategic Performance Team,ORANGE (AIRTIME/LINE RENTAL),2100199757,72.13,
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Strategic Performance Team,ORANGE (AIRTIME/LINE RENTAL),2100199757,17.04,
Communities & Local Government,DCLG,03/02/2011,Cmmunication Telecom Costs,Strategic Performance Team,ORANGE (AIRTIME/LINE RENTAL),2100199757,58,
Communities & Local Government,DCLG,03/02/2011,Current Grants to Non Profit Bodies,Localism,CHIEF FIRE OFFICERS ASSOCIATION,2100199737,"60,025.00",Yes
Communities & Local Government,DCLG,03/02/2011,Domestic Services,Finance & Corporate Services,MITIE MANAGED SERVICES (SOUTHERN) L,5106156190,"27,068.73",
Communities & Local Government,DCLG,03/02/2011,Electricity,Finance & Corporate Services,EDF ENERGY 1 LIMITED,5106156236,"1,016.83",
Communities & Local Government,DCLG,03/02/2011,Electricity,Finance & Corporate Services,SCHNEIDER ELECTRIC,5106156339,550,
Communities & Local Government,DCLG,03/02/2011,Fixed Maintenance,Finance & Corporate Services,MITIE MANAGED SERVICES (SOUTHERN) L,5106156182,"22,720.26",
Communities & Local Government,DCLG,03/02/2011,Fixed Maintenance,Finance & Corporate Services,MITIE MANAGED SERVICES (SOUTHERN) L,5106156190,"52,474.43",
Communities & Local Government,DCLG,03/02/2011,Fixed Maintenance,Localism,LEICESTERSHIRE FIRE SERVICE,5106156238,"3,100.32",
Communities & Local Government,DCLG,03/02/2011,Grant in Aid NDPB's,Localism,VALUATION TRIBUNAL SERVICE,2100199758,"786,462.00",Yes
Communities & Local Government,DCLG,03/02/2011,IT Maintenance,Finance & Corporate Services,INSIGHT DIRECT (UK) LTD,5106156234,"6,256.80",
Communities & Local Government,DCLG,03/02/2011,IT Maintenance,Localism,SELEX SYSTEMS INTEGRATION,5106156251,"13,861.48",
Communities & Local Government,DCLG,03/02/2011,Legal Fees,Localism,DENTON WILDE SAPTE LLP,5106156334,"79,170.61",
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,ADUR DC,5000150463,"43,886.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,ALLERDALE BOROUGH COUNCIL,5000150465,"92,846.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,AMBER VALLEY BC,5000150468,"86,262.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,ARUN DC,5000150473,"89,993.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,ASHFIELD DC,5000150474,"100,168.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,AVON & SOMERSET POLICE AUTHORITY,5000150480,"652,085.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,AVON FIRE AUTHORITY,5000150483,"217,242.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,BARKING & DAGENHAM LB,5000150492,"897,517.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,BARNET LBC,5000150493,"825,668.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,BARNSLEY MBC,5000150496,"959,582.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,BARROW BC,5000150500,"79,323.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,BASSETLAW DC,5000150509,"98,774.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,BATH & NORTH EAST SOMERSET DC,5000150512,"362,891.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,BEDFORD BOROUGH COUNCIL,5000151717,"472,390.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,BEDFORDSHIRE POLICE AUTH,5000150517,"265,805.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,BEDS & LUTON FIRE & RESCUE SERVICE,5000150515,"99,421.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,BEXLEY LB,5000150521,"572,740.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,BIRMINGHAM CITY CNCL,5000150524,"5,920,461.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,BLABY DC,5000150528,"56,102.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,BLACKBURN WITH DARWEN BC,5000150533,"712,823.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,BLACKPOOL BC,5000150535,"714,253.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,BOLSOVER DC,5000150541,"69,218.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,BOLTON MBC,5000150543,"1,114,124.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,BOSTON BC,5000150547,"63,407.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,BOURNEMOUTH DC,5000150551,"480,476.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,BRACKNELL FOREST DC,5000150553,"228,037.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,BRADFORD MBC,5000150556,"2,374,816.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,BRECKLAND DC,5000150562,"98,751.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,BRENT LB,5000150565,"1,436,322.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,BRIGHTON & HOVE CITY COUNCIL,5000150573,"953,403.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,BRISTOL CITY CNCL,5000150575,"1,457,386.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,BROADLAND DC,5000150579,"74,020.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,BROMLEY LB,5000150580,"568,879.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,BROXTOWE BC,5000150590,"77,384.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,BUCKINGHAMSHIRE CC,5000150595,"520,001.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,BUCKS & MILTON KEYNES FIRE AUTH,5000150593,"99,995.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,BURNLEY BC,5000150597,"103,779.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,BURY MBC,5000150601,"577,526.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,CALDERDALE MBC,5000150603,"711,743.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,CAMBRIDGESHIRE COUNTY CNCL,5000150613,"969,736.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,CAMBRIDGESHIRE POLICE AUT,5000150611,"291,658.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,CAMBS & PETERBOROUGH FIRE AUTHORITY,5000150609,"126,121.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,CAMDEN LONDON BOROUGH,5000150616,"1,460,467.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,CASTLE POINT BC,5000150627,"58,071.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,CENTRAL BEDFORDSHIRE COUNCIL,5000151692,"442,837.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,CHARNWOOD BC,5000150630,"109,271.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,CHESHIRE EAST COUNCIL,5000151693,"554,370.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,CHESHIRE FIRE AUTHORITY,5000150644,"162,599.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,CHESHIRE POLICE AUTHORITY,5000150646,"493,411.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,CHESHIRE WEST AND CHESTER,5000151696,"816,290.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,CHESTERFIELD BC,5000150650,"88,628.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,CHORLEY DC,5000150659,"74,106.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,CITY OF WAKEFIELD MDC,5000151554,"1,233,249.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,CLEVELAND FIRE AUTHORITY,5000150671,"195,438.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,CLEVELAND POLICE AUTHORITY,5000150673,"436,191.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,CO DURHAM & DARLINGTON FIRE SERVICE,5000150753,"126,870.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,CORNWALL COUNCIL,5000151700,"1,865,600.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,COVENTRY CITY CNCL,5000150689,"1,336,227.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,CROYDON LB,5000150699,"1,035,053.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,CUMBRIA COUNTY CNCL,5000150700,"1,261,824.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,CUMBRIA POLICE AUTHORITY,5000150703,"318,490.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,DARLINGTON BC,5000150707,"339,076.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,DERBY CITY CNCL,5000150718,"957,458.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,DERBYSHIRE COUNTYCOUNCIL,5000150726,"1,616,736.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,DERBYSHIRE FIRE AUTHORITY,5000150721,"171,795.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,DERBYSHIRE POLICE AUTHORITY,5000150724,"428,703.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,DEVON & CORNWALL POLICE A,5000150732,"697,643.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,DEVON & SOMERSET FIRE & RESCUE SERV,5000150735,"272,834.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,DEVON COUNTY CNCL,5000150734,"1,406,964.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,DONCASTER MBC,5000150739,"1,250,584.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,DORSET COUNTY CNCL,5000150741,"443,162.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,DORSET FIRE AUTHORITY,5000150742,"96,064.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,DORSET POLICE AUTHORITY,5000150745,"219,685.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,DOVER DC,5000150748,"89,194.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,DUDLEY MBC,5000150751,"1,096,547.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,DURHAM COUNTY COUNCIL,5000151704,"2,020,075.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,DURHAM POLICE AUTHORITY,5000150755,"415,078.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,EALING LB,5000150758,"1,261,298.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,EAST CAMBRIDGESHIRE DC,5000150759,"58,985.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,EAST LINDSEY DC,5000150776,"151,745.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,EAST NORTHAMPTONSHIRE COUNCIL,5000150780,"58,162.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,EAST RIDING OF YORKS,5000150783,"884,855.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,EAST SUSSEX COUNTY CNCL,5000150788,"874,236.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,EAST SUSSEX FIRE AUTHORITY,5000150790,"128,124.00",Yes
Communities & Local Government,DCLG,03/02/2011,National Non Domestic Rates (NNDR) Payments,Localism,EASTBOURNE BC,5000150794,"90,989.00",Yes
