Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Post Code,Transaction Number,Total
Ministry of Defence,Ministry of Defence,10/08/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,DEBUT SERVICES LIMITED,B75 7RL,830048,645264.54
Ministry of Defence,Ministry of Defence,23/08/2011,IT and communication services,Central TLB,LOGICA UK LIMITED,CF31 9AP,835223,620128.37
Ministry of Defence,Ministry of Defence,11/08/2011,Estate management,Defence Infrastructure Organisation ,SODEXO LTD,M50 0AL,830843,617388.54
Ministry of Defence,Ministry of Defence,30/08/2011,"Purchase of munitions, other inventory or fuel",Air Command,BP INTERNATIONAL LIMITED,HP2 4UL,2000012589,616505.4
Ministry of Defence,Ministry of Defence,08/08/2011,Externally delivered education and training,Air Command,BABCOCK LAND LIMITED,BH23 9BS,828843,610803.49
Ministry of Defence,Ministry of Defence,10/08/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,CARILLIONENTERPRISE LIMITED,B75 7RL,830004,600000
Ministry of Defence,Ministry of Defence,09/08/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,TURNER FACILITIES MANAGEMENT LTD,G51 3EQ,829874,589544.69
Ministry of Defence,Ministry of Defence,11/08/2011,Fees for professional services,Land Forces,BABCOCK LAND LIMITED,BH23 9BS,830433,584359
Ministry of Defence,Ministry of Defence,08/08/2011,Development costs for military equipment,Defence Equipment & Support,ORACLE CORPORATION U K LTD,RG6 1RA,829206,580520.9
Ministry of Defence,Defence Science and Technology Laboratory,19/08/2011,Sub Contracted Research,Programme Office,BAE SYSTEMS (OPERATIONS) LIMITED,,V - 9000135308 - 00114243,572112.13
Ministry of Defence,Ministry of Defence,16/08/2011,Purchase of buildings and military equipment ,Defence Equipment & Support,HOLYHEAD MARINE SERVICES LIMITED,LL65 1YB,832265,571946.73
Ministry of Defence,Ministry of Defence,24/08/2011,Design services and minor equipment purchases,Air Command,FBS LIMITED,RG24 8AG,835636,564494.28
Ministry of Defence,Ministry of Defence,04/08/2011,Fuel for military use,Land Forces,ARVAL UK LTD,SN5 6PE,827673,558197.97
Ministry of Defence,Ministry of Defence,03/08/2011,Estate management,Defence Infrastructure Organisation ,MODERN HOUSING SOLUTIONS (PRIME)LIMITED,PE28 4QG,827409,556627.97
Ministry of Defence,Ministry of Defence,26/08/2011,Design services and minor equipment purchases,Defence Equipment & Support,REPLY LIMITED,SL7 3HJ,162838,550254
Ministry of Defence,Ministry of Defence,15/08/2011,Transport hire charges,Land Forces,BABCOCK LAND (WHITEFLEET MANAGEMENT) LIMITED,BH23 6BS,831589,539956.57
Ministry of Defence,Ministry of Defence,23/08/2011,Property leases,Defence Infrastructure Organisation ,VEOLIA WATER NEVIS LIMITED,KY11 8UU,835462,537755.76
Ministry of Defence,Ministry of Defence,05/08/2011,Food and clothing,Defence Equipment & Support,PURPLE FOODSERVICE SOLUTIONS LIMITED,GU32 3QD,828653,535529.29
Ministry of Defence,Ministry of Defence,01/08/2011,Estate management,Air Command,SERCO LIMITED,RG27 9UY,826576,530669.89
Ministry of Defence,Ministry of Defence,10/08/2011,IT and communication services,Central TLB,IBM UNITED KINGDOM LIMITED,PO6 3AE,830134,515948.86
Ministry of Defence,Ministry of Defence,19/08/2011,Food and clothing,Defence Infrastructure Organisation ,COMPASS CONTRACT SERVICES (U K)LIMITED,B45 9PZ,833838,513923.39
Ministry of Defence,Ministry of Defence,25/08/2011,Purchase of buildings and military equipment ,Defence Equipment & Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,836178,512169.03
Ministry of Defence,Ministry of Defence,04/08/2011,Payment of utilities,Defence Infrastructure Organisation ,ELECTRICITY AUTHORITY OF CYPRUS,BFPO 53,4000005514,508352.53
Ministry of Defence,Ministry of Defence,04/08/2011,Estate management,Defence Infrastructure Organisation ,TURNER FACILITIES MANAGEMENT LTD,G51 3EQ,828232,508141.21
Ministry of Defence,Ministry of Defence,10/08/2011,Estate management,Defence Infrastructure Organisation ,SODEXO LTD,M50 0AL,830298,507361.03
Ministry of Defence,Ministry of Defence,19/08/2011,Food and clothing,Defence Infrastructure Organisation ,SODEXO LTD,M50 0AL,834173,506087.42
Ministry of Defence,Ministry of Defence,05/08/2011,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,MODERN HOUSING SOLUTIONS (PRIME)LIMITED,PE28 4QG,828561,500438.51
Ministry of Defence,Ministry of Defence,31/08/2011,"Purchase of munitions, other inventory or fuel",Defence Equipment & Support,BP OIL INTERNATIONAL LIMITED,TW16 7BP,2000012599,498793.15
Ministry of Defence,Ministry of Defence,18/08/2011,Medical treatment & stores and welfare services,Central TLB,FRIMLEY PARK HOSPITAL NHS FOUNDATION TRUST,GU16 7UJ,833320,495881.55
