Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
Ministry of Defence,Ministry of Defence,17/05/2010,Transport hire charges,Defence Equipment & Support,VT LAND (WHITEFLEET MANAGEMENT) LTD,635452,441701.36
Ministry of Defence,Ministry of Defence,17/05/2010,Transport hire charges,Central TLB,VT LAND (WHITEFLEET MANAGEMENT) LTD,635452,48826.32
Ministry of Defence,Ministry of Defence,17/05/2010,Transport hire charges,Air Command,VT LAND (WHITEFLEET MANAGEMENT) LTD,635452,1836995.20
Ministry of Defence,Ministry of Defence,17/05/2010,Transport hire charges,Land Forces,VT LAND (WHITEFLEET MANAGEMENT) LTD,635452,2401326.05
Ministry of Defence,Ministry of Defence,17/05/2010,Transport hire charges,Navy Command,VT LAND (WHITEFLEET MANAGEMENT) LTD,635452,314051.94
Ministry of Defence,Ministry of Defence,19/05/2010,Transport hire charges,Command Joint Operations,VT LAND (WHITEFLEET MANAGEMENT) LTD,636861,8020.75
Ministry of Defence,Ministry of Defence,19/05/2010,Transport hire charges,Defence Estates,VT LAND (WHITEFLEET MANAGEMENT) LTD,636861,12869.24
Ministry of Defence,Ministry of Defence,19/05/2010,Transport hire charges,Defence Equipment & Support,VT LAND (WHITEFLEET MANAGEMENT) LTD,636861,38361.11
Ministry of Defence,Ministry of Defence,19/05/2010,Transport hire charges,Central TLB,VT LAND (WHITEFLEET MANAGEMENT) LTD,636861,35649.57
Ministry of Defence,Ministry of Defence,19/05/2010,Transport hire charges,Air Command,VT LAND (WHITEFLEET MANAGEMENT) LTD,636861,41923.04
Ministry of Defence,Ministry of Defence,19/05/2010,Transport hire charges,Land Forces,VT LAND (WHITEFLEET MANAGEMENT) LTD,636861,217709.46
Ministry of Defence,Ministry of Defence,19/05/2010,Transport hire charges,Navy Command,VT LAND (WHITEFLEET MANAGEMENT) LTD,636861,21885.71
Ministry of Defence,Ministry of Defence,20/05/2010,Transport hire charges,Central TLB,VT LAND (WHITEFLEET MANAGEMENT) LTD,637513,892.50
Ministry of Defence,Ministry of Defence,20/05/2010,Transport hire charges,Air Command,VT LAND (WHITEFLEET MANAGEMENT) LTD,637513,2550.80
Ministry of Defence,Ministry of Defence,20/05/2010,Transport hire charges,Land Forces,VT LAND (WHITEFLEET MANAGEMENT) LTD,637513,49268.62
