Post Date,Publishable Label,Transaction Amount,"Publishable label is provided by Bank and is industry standard.  May not, however, give true indication of purchase - additional comment provided as necessary",,
13/02/12,Car Hire,1979.64,Transport for sponsored visit,,
20/02/12,Car Hire,3239.78,,,
20/02/12,Car Hire,5929.72,Transport for Guest of Government visit,,
22/02/12,Car Hire,2111.50,,,
24/02/12,Car Hire,1493.50,,,
17/02/12,Cash,10000.00,Cash imprest for HR Evacuation Team,,
01/02/12,Catalogue,1084.78,,,
02/02/12,Catalogue,1963.88,,,
03/02/12,Catalogue,1319.96,Laptops for post,,
06/02/12,Catalogue,2602.13,Travel through official travel agency at post,,
06/02/12,Catalogue,1565.91,Travel through official travel agency at post,,
06/02/12,Catalogue,2148.26,Travel through official travel agency at post,,
06/02/12,Catalogue,1129.41,Travel through official travel agency at post,,
06/02/12,Catalogue,550.75,,,
09/02/12,Catalogue,843.81,,,
10/02/12,Catalogue,1079.98,Extractor canopy for social club at post,,
10/02/12,Catalogue,683.22,,,
10/02/12,Catalogue,3980.39,Mobile phone provider charges,,
10/02/12,Catalogue,2338.59,Mobile phone provider charges,,
10/02/12,Catalogue,3100.30,Mobile phone provider charges,,
10/02/12,Catalogue,2166.98,Mobile phone provider charges,,
10/02/12,Catalogue,1752.66,Mobile phone provider charges,,
10/02/12,Catalogue,2184.93,Mobile phone provider charges,,
13/02/12,Catalogue,886.62,SPC 60 Paper Drill,,
13/02/12,Catalogue,870.34,,,
13/02/12,Catalogue,527.70,,,
13/02/12,Catalogue,843.18,,,
13/02/12,Catalogue,561.27,,,
13/02/12,Catalogue,936.08,,,
13/02/12,Catalogue,577.97,,,
13/02/12,Catalogue,936.10,,,
13/02/12,Catalogue,2092.37,Travel through official travel agency at post,,
13/02/12,Catalogue,521.88,,,
14/02/12,Catalogue,1529.26,,,
14/02/12,Catalogue,888.78,,,
15/02/12,Catalogue,886.62,,,
16/02/12,Catalogue,607.89,,,
17/02/12,Catalogue,502.03,,,
17/02/12,Catalogue,559.01,,,
21/02/12,Catalogue,1444.03,,,
21/02/12,Catalogue,608.18,,,
27/02/12,Catalogue,858.24,,,
29/02/12,Catalogue,4008.77,Mobile phone provider charges,,
29/02/12,Catalogue,2181.67,Mobile phone provider charges,,
29/02/12,Catalogue,3862.58,Mobile phone provider charges,,
29/02/12,Catalogue,591.63,,,
29/02/12,Catalogue,1979.21,Mobile phone provider charges,,
29/02/12,Catalogue,718.86,,,
29/02/12,Catalogue,850.07,,,
13/02/12,Clothing,3333.75,Furniture for staff accommodation at new post,,
20/02/12,Clothing,533.48,,,
28/02/12,Clothing,2054.85,,,
16/02/12,Department Stores,1399.65,Laundry equipment in overseas residential compound,,
23/02/12,Department Stores,1007.50,Office furniture,,
06/02/12,Diy & Household Stores,773.60,,,
07/02/12,Diy & Household Stores,682.22,,,
08/02/12,Diy & Household Stores,992.08,,,
10/02/12,Diy & Household Stores,625.39,,,
10/02/12,Diy & Household Stores,538.04,,,
13/02/12,Diy & Household Stores,542.94,,,
13/02/12,Diy & Household Stores,1179.95,IT equipment,,
13/02/12,Diy & Household Stores,957.98,,,
13/02/12,Diy & Household Stores,539.98,,,
17/02/12,Diy & Household Stores,511.12,,,
20/02/12,Diy & Household Stores,875.00, White marquees for use at official functions at post,,
20/02/12,Diy & Household Stores,875.00,Green marquees for use at official functions at post,,
20/02/12,Diy & Household Stores,525.48,,,
27/02/12,Diy & Household Stores,1076.22,Office equipment,,
27/02/12,Diy & Household Stores,692.29,,,
27/02/12,Diy & Household Stores,989.37,IT equipment,,
27/02/12,Diy & Household Stores,983.18,IT equipment at post,,
28/02/12,Diy & Household Stores,1214.23,Purchase of soft furniture for staff accommodation,,
28/02/12,Diy & Household Stores,536.51,,,
29/02/12,Diy & Household Stores,639.46,,,
01/02/12,Entertainment,638.44,,,
02/02/12,Entertainment,2438.21,Exhibition stand at Earl's Court,,
02/02/12,Entertainment,929.65,Official lunch hosted during UNGA at post,,
03/02/12,Entertainment,504.00,Official contracted catering supplier,,
03/02/12,Entertainment,504.00,Official contracted catering supplier,,
06/02/12,Entertainment,586.95,Working lunch for delegations at official one-day talks,,
06/02/12,Entertainment,642.24,Official travel/accommodation to/at post,,
10/02/12,Entertainment,742.78,Official contracted catering supplier,,
10/02/12,Entertainment,702.48,Official contracted catering supplier,,
10/02/12,Entertainment,691.08,Official contracted catering supplier,,
13/02/12,Entertainment,692.70,Official contracted catering supplier,,
15/02/12,Entertainment,505.01,Catering at official Seminar at post,,
15/02/12,Entertainment,627.53,Official lunch hosted during conference at post,,
21/02/12,Entertainment,684.00,Official contracted catering supplier,,
24/02/12,Entertainment,1343.93,Meals hosted in margins of official conference,,
29/02/12,Entertainment,667.25,Contribution to official reception ,,
06/02/12,Food & Drink,601.63,Re-stock of wine cellar for Residence at post,,
01/02/12,Hotels,854.77,,,
02/02/12,Hotels,504.09,,,
02/02/12,Hotels,526.95,,,
02/02/12,Hotels,522.00,,,
02/02/12,Hotels,620.84,,,
02/02/12,Hotels,516.62,,,
03/02/12,Hotels,720.13,,,
03/02/12,Hotels,990.00,,,
06/02/12,Hotels,776.07,,,
06/02/12,Hotels,1254.00,,,
06/02/12,Hotels,958.82,,,
06/02/12,Hotels,554.09,,,
06/02/12,Hotels,619.73,,,
06/02/12,Hotels,774.85,,,
06/02/12,Hotels,580.00,,,
06/02/12,Hotels,8559.58,,,
06/02/12,Hotels,695.64,,,
06/02/12,Hotels,945.44,,,
07/02/12,Hotels,647.00,,,
07/02/12,Hotels,1297.95,,,
08/02/12,Hotels,676.22,,,
08/02/12,Hotels,637.96,,,
08/02/12,Hotels,903.66,,,
09/02/12,Hotels,1038.00,,,
09/02/12,Hotels,673.45,,,
09/02/12,Hotels,1844.72,,,
10/02/12,Hotels,1293.18,,,
10/02/12,Hotels,1150.00,,,
