Post Date,Publishable Label,Transaction Amount,"Publishable Label is provided by the Bank and is industry standard.  May not, however, give true indication of purchase - additional comment as necessary",,
03/07/12,Travel Agencies,896.73,,,
03/07/12,Travel Agencies,507.48,,,
03/07/12,Travel Agencies,507.48,,,
03/07/12,Travel Agencies,507.48,,,
03/07/12,Travel Agencies,507.48,,,
03/07/12,Travel Agencies,507.48,,,
03/07/12,Travel Agencies,507.48,,,
03/07/12,Travel Agencies,507.48,,,
03/07/12,Travel Agencies,507.48,,,
04/07/12,Travel Agencies,691.50,,,
04/07/12,Travel Agencies,691.50,,,
04/07/12,Travel Agencies,886.93,,,
04/07/12,Travel Agencies,886.93,,,
04/07/12,Travel Agencies,886.93,,,
04/07/12,Travel Agencies,886.93,,,
04/07/12,Travel Agencies,886.93,,,
05/07/12,Travel Agencies,1382.36,,,
05/07/12,Travel Agencies,-3989.59,,,
05/07/12,Travel Agencies,1645.24,,,
05/07/12,Travel Agencies,1645.24,,,
05/07/12,Travel Agencies,1645.24,,,
05/07/12,Travel Agencies,518.31,,,
05/07/12,Travel Agencies,3225.19,,,
05/07/12,Travel Agencies,1645.24,,,
06/07/12,Travel Agencies,1928.41,,,
06/07/12,Travel Agencies,880.20,,,
09/07/12,Travel Agencies,2180.29,,,
10/07/12,Travel Agencies,1632.95,,,
10/07/12,Travel Agencies,-2547.90,,,
11/07/12,Travel Agencies,3058.58,,,
11/07/12,Travel Agencies,628.04,,,
12/07/12,Travel Agencies,3247.26,,,
13/07/12,Travel Agencies,1060.87,,,
13/07/12,Travel Agencies,673.70,,,
16/07/12,Travel Agencies,1318.89,,,
16/07/12,Travel Agencies,2426.87,,,
16/07/12,Travel Agencies,1008.18,,,
16/07/12,Travel Agencies,909.03,,,
17/07/12,Travel Agencies,3067.02,,,
17/07/12,Travel Agencies,2931.03,,,
18/07/12,Travel Agencies,3543.79,,,
18/07/12,Travel Agencies,1720.00,,,
18/07/12,Travel Agencies,1720.00,,,
18/07/12,Travel Agencies,1720.00,,,
18/07/12,Travel Agencies,1385.59,,,
18/07/12,Travel Agencies,1366.36,,,
19/07/12,Travel Agencies,-725.39,,,
20/07/12,Travel Agencies,2623.48,,,
23/07/12,Travel Agencies,616.28,,,
23/07/12,Travel Agencies,640.81,,,
23/07/12,Travel Agencies,1507.73,,,
24/07/12,Travel Agencies,1298.30,,,
24/07/12,Travel Agencies,-1586.11,,,
25/07/12,Travel Agencies,-1052.80,,,
25/07/12,Travel Agencies,809.63,,,
25/07/12,Travel Agencies,589.09,,,
