Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Voluntary & Community Sector,SME,Sole Trader,Transaction number,Narrative,Amount in Sterling,Grant?
Communities & Local Government,DCLG,25/07/2011,Utilisation of Unfunded Pension Scheme,Localism,WARWICKSHIRE CC,,Large,,5106166412,Recharge of Pension,"5,149.69",
Communities & Local Government,DCLG,26/07/2011,Agency Staff,Finance & Corporate Services,PURCON LTD,,Medium,,5106166515,Enprotex Interim Contractor,566.32,
Communities & Local Government,DCLG,26/07/2011,Agency Staff,Finance & Corporate Services,PURCON LTD,,Medium,,5106166522,Enprotex Interim Contractor,"3,810.24",
Communities & Local Government,DCLG,26/07/2011,Agency Staff,Finance & Corporate Services,PURCON LTD,,Medium,,5106166524,Enprotex Interim Contractor,"2,177.28",
Communities & Local Government,DCLG,26/07/2011,Conferences and Meeting Facilities,Localism,DODS PARLIAMENTARY COMM  LTD,,Large,,5106166501,Getting out to get on x10 Grp.Booking,"2,340.00",
Communities & Local Government,DCLG,26/07/2011,IT - Service Contracts,Finance & Corporate Services,FUJITSU SERVICES LTD,,Large,,5106166487,Core Service Charge,"281,913.25",
Communities & Local Government,DCLG,26/07/2011,Office machinery consumables,Finance & Corporate Services,DANWOOD GROUP LTD,,Large,,5106166520,75032442 - 11077 @ £0.055052 April-July,731.78,
Communities & Local Government,DCLG,26/07/2011,Office machinery consumables,Finance & Corporate Services,DANWOOD GROUP LTD,,Large,,5106166520,75032442 - 6443 @ £0.0055052 April-July,42.56,
Communities & Local Government,DCLG,26/07/2011,Research,Finance & Corporate Services,WARWICK UNIVERSITY,,Large,,5106164647,Multi Area Agreements report 2,"-28,338.29",
Communities & Local Government,DCLG,26/07/2011,Training,Finance & Corporate Services,NATIONAL SCHOOL OF GOVERNMENT,,,,5106166265,raising your profile - image management,500.00,
Communities & Local Government,DCLG,26/07/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,ARTS COUNCIL ENGLAND,,Large,,2100206075,East Midlands 2007 - 2013 ERDF Competitiveness OP,"62,906.54",
Communities & Local Government,DCLG,26/07/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,DE MONTFORT UNIVERSITY,,Large,,2100206068,East Midlands 2007 - 2013 ERDF Competitiveness OP,"11,831.88",
Communities & Local Government,DCLG,26/07/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,EMTEX LTD,,Small,,2100206071,East Midlands 2007 - 2013 ERDF Competitiveness OP,"19,338.98",
Communities & Local Government,DCLG,26/07/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,GROUNDWORK DERBY & DERBYSHIRE,,Medium,,2100206062,East Midlands 2007 - 2013 ERDF Competitiveness OP,"7,259.97",
Communities & Local Government,DCLG,26/07/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,LEICS SOCIAL ECONOMY CONSORTIUM LTD,,Small,,2100206064,East Midlands 2007 - 2013 ERDF Competitiveness OP,"5,572.19",
Communities & Local Government,DCLG,26/07/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,NOTTINGHAM UNIVERSITY,,Large,,2100206067,East Midlands 2007 - 2013 ERDF Competitiveness OP,"38,156.16",
Communities & Local Government,DCLG,26/07/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,NOTTINGHAMSHIRE COUNTY COUNCIL,,Large,,2100206061,East Midlands 2007 - 2013 ERDF Competitiveness OP,"5,154.50",
Communities & Local Government,DCLG,26/07/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,PERA  INNOVATION LTD,,Small,,2100206077,East Midlands 2007 - 2013 ERDF Competitiveness OP,"283,957.29",
Communities & Local Government,DCLG,26/07/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,PLYMOUTH URBAN ENTERPRISE DEL. CAP.,,,,2100206058,SW Convergence Programme,"3,670.23",
Communities & Local Government,DCLG,26/07/2011,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,SKILLS FOR ENTERPRISE LTD,,Small,,2100206073,East Midlands 2007 - 2013 ERDF Competitiveness OP,"20,042.73",
Communities & Local Government,DCLG,26/07/2011,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,ACORN DEVELOPMENTS,,,,2100206055,SW Convergence Programme,"437,359.81",
Communities & Local Government,DCLG,26/07/2011,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,BOLSOVER DISTRICT COUNCIL,,Large,,2100206076,East Midlands 2007 - 2013 ERDF Competitiveness OP,"213,998.32",
Communities & Local Government,DCLG,26/07/2011,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,EMTEX LTD,,Small,,2100206071,East Midlands 2007 - 2013 ERDF Competitiveness OP,"1,799.70",
Communities & Local Government,DCLG,26/07/2011,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,LEICESTER CITY COUNCIL,,Large,,2100206072,East Midlands 2007 - 2013 ERDF Competitiveness OP,"277,197.15",
Communities & Local Government,DCLG,26/07/2011,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,LINCONSHIRE COUNTY COUNCIL,,Large,,2100206074,East Midlands 2007 - 2013 ERDF Competitiveness OP,"95,991.70",
Communities & Local Government,DCLG,26/07/2011,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,NOTTINGHAM CITY COUNCIL,,Large,,2100206066,East Midlands 2007 - 2013 ERDF Competitiveness OP,"82,304.79",
Communities & Local Government,DCLG,26/07/2011,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,NOTTINGHAM UNIVERSITY,,Large,,2100206067,East Midlands 2007 - 2013 ERDF Competitiveness OP,"4,390.14",
Communities & Local Government,DCLG,26/07/2011,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,PRACTICAL DEVELOPMENTS (SOUTH WEST),,,,2100206056,SW Convergence Programme,"228,766.06",
Communities & Local Government,DCLG,26/07/2011,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,SEASALT LTD,,,,2100206054,SW Convergence Programme,"44,165.01",
Communities & Local Government,DCLG,26/07/2011,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,STH WEST OF ENGLAND REG'L DEV AGENC,,,,2100206057,SW Convergence Programme,"717,013.41",
Communities & Local Government,DCLG,27/07/2011,Agency Staff,Finance & Corporate Services,REED SPECIALIST RECRUITMENT LTD,,Large,,5106166550,Agency Staff,438.52,
Communities & Local Government,DCLG,27/07/2011,Current (non AEF) Grants to Local Authorities,Localism,CHESHIRE FIRE AUTHORITY,,,,5000170007,Overpayment of Grant recovered by Exchequer,"-1,267.00",Yes
Communities & Local Government,DCLG,27/07/2011,EU Cur Grnt to Priv Sect-Persons & NPISH,Finance & Corporate Services,LYNTON MARKETING LTD,,,,7500018926,10111/clw2225,"-17,337.00",Yes
Communities & Local Government,DCLG,27/07/2011,EU Cur Grnt to Priv Sect-Persons & NPISH,Treasury,LEEDS UNIVERSITY,,Large,,7500029503,UL/2C/OB2/clw5280,"-13,451.87",Yes
Communities & Local Government,DCLG,27/07/2011,Grant in Aid to NDPBs (non budget),Neighbourhoods,HOMES & COMMUNITIES AGENCY,,,,2100206119,Deliver Govt’s Strategic Hous’g & Regen Priorities ,"89,949,872.00",Yes
Communities & Local Government,DCLG,27/07/2011,Grant in Aid to NDPBs (non budget),Neighbourhoods,TENANT SERVICES AUTHORIT Y,,Medium,,2100206118,Claim no. 08,"500,000.00",Yes
Communities & Local Government,DCLG,27/07/2011,IT - Service Contracts,Finance & Corporate Services,COMPUTACENTER (UK) LTD,,Large,,5106166532,Evault data backup mthly charge 2011/12,"2,208.00",
Communities & Local Government,DCLG,27/07/2011,IT - Software Maintenance,Finance & Corporate Services,COMPUTACENTER (UK) LTD,,Large,,5106166531,RPD 2010 - 2011 EVAULT,552.00,
Communities & Local Government,DCLG,27/07/2011,IT - Software Maintenance,Finance & Corporate Services,COMPUTACENTER (UK) LTD,,Large,,5106166531,KMD 2010 - 2011 EVAULT,552.00,
Communities & Local Government,DCLG,27/07/2011,IT - Software Maintenance,Finance & Corporate Services,COMPUTACENTER (UK) LTD,,Large,,5106166531,  ICT 2010 - 2011 EVAULT,552.00,
