Post Date,Publishable Label,Transaction Amount,"Publishable label is provided by the Bank and is industry standard.  May not, however, give true indication of purchase - additional comment as necessary."
16/05/12,Travel Agencies,507.48,
16/05/12,Travel Agencies,563.95,
16/05/12,Travel Agencies,507.48,
16/05/12,Travel Agencies,705.54,
17/05/12,Travel Agencies,734.23,
17/05/12,Travel Agencies,800.08,
17/05/12,Travel Agencies,800.08,
17/05/12,Travel Agencies,1483.74,
17/05/12,Travel Agencies,1231.34,
18/05/12,Travel Agencies,3035.48,
18/05/12,Travel Agencies,631.13,
18/05/12,Travel Agencies,1739.91,
18/05/12,Travel Agencies,3035.48,
18/05/12,Travel Agencies,2776.48,
18/05/12,Travel Agencies,-3035.48,
21/05/12,Travel Agencies,-760.20,
21/05/12,Travel Agencies,508.79,
21/05/12,Travel Agencies,4102.54,
21/05/12,Travel Agencies,1026.84,
21/05/12,Travel Agencies,1603.48,
21/05/12,Travel Agencies,4102.54,
21/05/12,Travel Agencies,-760.20,
21/05/12,Travel Agencies,2932.30,
22/05/12,Travel Agencies,913.59,
22/05/12,Travel Agencies,913.59,
22/05/12,Travel Agencies,913.59,
22/05/12,Travel Agencies,913.59,
22/05/12,Travel Agencies,913.59,
22/05/12,Travel Agencies,3081.72,
22/05/12,Travel Agencies,631.94,
22/05/12,Travel Agencies,2756.32,
22/05/12,Travel Agencies,4102.54,
22/05/12,Travel Agencies,697.21,
22/05/12,Travel Agencies,-1562.28,
22/05/12,Travel Agencies,913.59,
22/05/12,Travel Agencies,913.59,
22/05/12,Travel Agencies,1353.26,
22/05/12,Travel Agencies,669.90,
